source,selected_target,alternate_target,selected_status,selected_source,alternate_source,resolution
install in the reverse order of removal,установить в последовательности обратной снятию,установить в порядке обратном снятию,candidate,EDITORIAL_CORE_2026 | N155_CORPUS,N155_CORPUS,manual_review_required
intake air duct,воздуховод впускной системы,воздуховод впуска,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
lumbar support,поясничная поддержка,поясничная опора,candidate,N155_CORPUS | EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
maximum load,максимально допустимая нагрузка,максимальная нагрузка,candidate,N165_CORPUS | EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
oil pan,поддон коробки передач,масляный поддон,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
oil pickup tube,маслоприёмник,маслоприёмная трубка,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
oil pressure switch,датчик-сигнализатор давления масла,выключатель сигнализатора давления масла,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
oil seal,манжетное уплотнение,сальник,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
oil strainer,сетчатый фильтр маслоприёмника,маслоприёмный фильтр,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
plug weld,выполнить пробочную сварку,электрозаклёпочное сварное соединение,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
position,установить в требуемое положение,расположить,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
positive crankcase ventilation valve,клапан принудительной вентиляции картера,клапан вентиляции картера,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
positive crankcase ventilation valve,клапан системы вентиляции картера,клапан принудительной вентиляции картера,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
prime,заполнить рабочей жидкостью перед пуском,заполнить рабочей жидкостью перед запуском,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
refill,повторно заправить,заправить,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
ring gear,зубчатый венец,зубчатый венец маховика,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
ring gear,коронная шестерня,зубчатый венец,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
ring gear,коронная шестерня,ведомая шестерня главной передачи,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
rivet,заклёпка,заклепать,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
rotate,повернуть,вращать,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
sand,отшлифовать,обработать шлифовальной бумагой,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
seal puller,съёмник сальников,съёмник манжеты,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
selective catalytic reduction system,система селективной каталитической нейтрализации,система селективного каталитического восстановления,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
shaft seal,уплотнение вала,манжетное уплотнение вала,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
snap ring,стопорное кольцо,пружинное стопорное кольцо,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
solder,припой,выполнить пайку мягким припоем,candidate,N155_CORPUS | EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
spot weld,точечное сварное соединение,выполнить точечную сварку,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
steering rack,рулевая рейка,рулевой механизм реечного типа,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
support,подпереть,поддерживать,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
transmission fluid,трансмиссионная жидкость,рабочая жидкость коробки передач,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
trim clip,фиксатор облицовки,клипса облицовки,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
valve stem,стержень клапана,вентиль шины,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
vent,стравить воздух,стравить,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
wheel alignment,углы установки колёс,регулировка углов установки колёс,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
