source,target_preferred,status
center wear,износ центральной части протектора,candidate
change the engine oil,заменить моторное масло,candidate
check brake fluid level,проверить уровень тормозной жидкости,candidate
check for coolant leaks,проверить систему на отсутствие утечек охлаждающей жидкости,candidate
check for leakage,проверить на наличие утечек,reviewed
check for leaks,проверить на наличие утечек,candidate
check for oil leaks,проверить на отсутствие утечек масла,candidate
check for play,проверить наличие люфта,candidate
check the coolant concentration,проверить концентрацию охлаждающей жидкости,candidate
check the coolant level,проверить уровень охлаждающей жидкости,candidate
check the fluid level,проверить уровень рабочей жидкости,candidate
check the oil level,проверить уровень масла,candidate
check the oil pressure,проверить давление масла,candidate
check tire pressure,проверить давление в шинах,candidate
check valve,обратный клапан,candidate
check wheel alignment,проверить углы установки колёс,candidate
check wheel runout,проверить биение колеса,candidate
circlip,стопорное кольцо,candidate
cleaning solvent,очиститель-растворитель,candidate
clearance fit,посадка с зазором,candidate
clevis pin,палец вилки,candidate
clip,зажим,candidate
clip-on weight,набивной балансировочный груз,candidate
clutch pack,пакет фрикционов,candidate
clutch pressure plate,нажимной диск сцепления,candidate
coil spring,винтовая пружина,candidate
cold tire pressure,давление в холодной шине,candidate
combination wrench,комбинированный ключ,candidate
combustion chamber,камера сгорания,candidate
compact spare tire,малоразмерное запасное колесо,candidate
compressed air,сжатый воздух,candidate
compression pressure,давление сжатия,candidate
compression ratio,степень сжатия,candidate
compression ring,компрессионное кольцо,candidate
connecting rod,шатун,candidate
connecting rod bearing,шатунный подшипник,candidate
connecting rod bearing shell,вкладыш шатунного подшипника,candidate
constant velocity joint,шарнир равных угловых скоростей,candidate
contact cleaner,очиститель электрических контактов,candidate
contaminated oil,загрязнённое масло,candidate
continuously variable transmission,бесступенчатая трансмиссия,candidate
control arm,рычаг подвески,candidate
control arm bushing,сайлентблок рычага подвески,candidate
control valve body,блок гидравлических клапанов,candidate
coolant,охлаждающая жидкость,candidate
coolant circulation,циркуляция охлаждающей жидкости,candidate
coolant concentration,концентрация охлаждающей жидкости,candidate
coolant flow,поток охлаждающей жидкости,candidate
coolant inlet,входной патрубок охлаждающей жидкости,candidate
coolant leak,утечка охлаждающей жидкости,candidate
coolant level sensor,датчик уровня охлаждающей жидкости,candidate
coolant mixture,смесь охлаждающей жидкости,candidate
coolant outlet,выходной патрубок охлаждающей жидкости,candidate
coolant passage,канал охлаждающей жидкости,candidate
coolant pipe,трубопровод охлаждающей жидкости,candidate
coolant pump,насос охлаждающей жидкости,candidate
coolant refill hose,шланг заправки охлаждающей жидкости,candidate
coolant reservoir,бачок охлаждающей жидкости,candidate
coolant seepage,просачивание охлаждающей жидкости,candidate
coolant temperature sensor,датчик температуры охлаждающей жидкости,candidate
coolant vent pipe,воздухоотводящая трубка системы охлаждения,candidate
cooling fan,вентилятор системы охлаждения,candidate
cooling fan speed,частота вращения вентилятора системы охлаждения,candidate
cooling fin,охлаждающая пластина,candidate
cooling module,модуль охлаждения,candidate
cooling system,система охлаждения,candidate
cooling system pressure,давление в системе охлаждения,candidate
cord,корд,candidate
cotter pin,шплинт,candidate
countershaft,промежуточный вал,candidate
crankcase breather hose,шланг вентиляции картера,candidate
crankcase ventilation,вентиляция картера,candidate
crankpin,шатунная шейка коленчатого вала,reviewed
crankshaft,коленчатый вал,candidate
crankshaft end play,осевой зазор коленчатого вала,candidate
crankshaft journal,шейка коленчатого вала,candidate
crankshaft main journal,коренная шейка коленчатого вала,candidate
crankshaft position sensor,датчик положения коленчатого вала,candidate
crankshaft pulley,шкив коленчатого вала,candidate
crankshaft thrust washer,упорная шайба коленчатого вала,candidate
cross rotation,перекрёстная перестановка колёс,candidate
cupping wear,чашеобразный износ,candidate
cured foam,отверждённая пена,candidate
cylinder barrel,гильза гидроцилиндра,candidate
cylinder block,блок цилиндров,candidate
cylinder bore,цилиндр цилиндрового блока,reviewed
cylinder head,головка блока цилиндров,candidate
cylinder head cover,крышка головки блока цилиндров,candidate
cylinder head gasket,прокладка головки блока цилиндров,candidate
cylinder head-to-block joint,стык головки блока цилиндров с блоком цилиндров,candidate
cylinder liner,гильза цилиндра,candidate
cylinder out-of-round,овальность цилиндра,candidate
cylinder rod,шток гидроцилиндра,candidate
cylinder taper,конусность цилиндра,candidate
deep socket,удлинённая торцовая головка,candidate
deflate the tire,стравить воздух из шины,candidate
demount the tire,снять шину с обода,candidate
depressurize the system,сбросить давление в системе,candidate
detent ball,фиксирующий шарик,candidate
detent spring,пружина фиксатора,candidate
diaphragm accumulator,мембранный гидроаккумулятор,candidate
differential,дифференциал,candidate
differential carrier,корпус дифференциала,candidate
differential case,корпус дифференциала,candidate
differential lock,блокировка дифференциала,candidate
differential pinion,сателлит дифференциала,candidate
differential ring gear,ведомая шестерня главной передачи,reviewed
differential side gear,полуосевая шестерня дифференциала,candidate
directional control valve,распределительный клапан,candidate
directional tire,шина с направленным рисунком протектора,candidate
disc runout,биение тормозного диска,candidate
do not damage the sealing lip,не повредить рабочую кромку манжеты,candidate
do not remove the cap when hot,не снимать крышку на горячем двигателе,candidate
do not reuse,не использовать повторно,reviewed
double-acting cylinder,гидроцилиндр двустороннего действия,candidate
dowel pin,установочный штифт,candidate
drain line,дренажная магистраль,candidate
drain the coolant,слить охлаждающую жидкость,candidate
drive gear,ведущая шестерня,candidate
drive pinion,ведущая шестерня главной передачи,candidate
drive shaft,приводной вал,candidate
driven gear,ведомая шестерня,candidate
driver,монтажная оправка,candidate
dry rot,растрескивание резины от старения,candidate
dual-clutch transmission,роботизированная коробка передач с двумя сцеплениями,candidate
dust boot,пылезащитный чехол,candidate
dynamic imbalance,динамический дисбаланс,candidate
electric power steering,электроусилитель рулевого управления,candidate
engine assembly,двигатель в сборе,candidate
engine coolant,охлаждающая жидкость двигателя,candidate
engine coolant temperature,температура охлаждающей жидкости двигателя,candidate
engine coolant temperature sensor,датчик температуры охлаждающей жидкости двигателя,candidate
engine cooling system,система охлаждения двигателя,candidate
engine mount,опора двигателя,candidate
engine mounting bracket,кронштейн опоры двигателя,candidate
engine oil,моторное масло,candidate
engine oil pan,масляный поддон двигателя,reviewed
engine oil sump,масляный поддон двигателя,candidate
engine valve stem,стержень клапана двигателя,reviewed
ensure the connector is fully engaged,убедиться что разъём полностью соединён,candidate
epoxy primer,эпоксидный грунт,candidate
etch primer,кислотный грунт,candidate
excessive oil pressure,повышенное давление масла,candidate
exhaust manifold,выпускной коллектор,candidate
exhaust valve,выпускной клапан,candidate
expansion tank,расширительный бачок,candidate
extension bar,удлинитель,candidate
external leakage,наружная утечка,candidate
external retaining ring,наружное стопорное кольцо,candidate
fan control module,модуль управления вентилятором,candidate
fan motor,электродвигатель вентилятора,candidate
fan shroud,кожух вентилятора,candidate
feathered wear,пилообразный износ,candidate
fill the cooling system,заполнить систему охлаждения,candidate
fill with hydraulic fluid,заполнить гидравлической жидкостью,candidate
fill with the specified oil,заправить указанным маслом,candidate
filter bypass valve,перепускной клапан фильтра,candidate
filter element,фильтрующий элемент,candidate
final drive,главная передача,candidate
final drive ratio,передаточное число главной передачи,candidate
finishing putty,финишная шпатлёвка,candidate
flange bolt,фланцевый болт,candidate
flange nut,фланцевая гайка,candidate
flange yoke,фланцевая вилка,candidate
flare nut wrench,разрезной ключ для трубок,candidate
flat spot,местная деформация протектора,candidate
flat washer,плоская шайба,candidate
flat-blade screwdriver,шлицевая отвёртка,candidate
flexible hose,гибкий шланг,candidate
flexplate,ведущий диск гидротрансформатора,candidate
flow control valve,регулятор расхода,candidate
flow rate,расход рабочей жидкости,candidate
flow sensor,датчик расхода,candidate
fluid aeration,аэрация рабочей жидкости,candidate
fluid reservoir,бачок рабочей жидкости,candidate
flush the cooling system,промыть систему охлаждения,candidate
flywheel,маховик,candidate
flywheel ring gear,зубчатый венец маховика,reviewed
foam pad,пенополиуретановая прокладка,candidate
freezing point,температура замерзания,candidate
friction plate,фрикционный диск,candidate
front crankshaft oil seal,передний сальник коленчатого вала,candidate
front crankshaft seal,передний сальник коленчатого вала,candidate
front-to-rear rotation,перестановка колёс спереди назад,candidate
fuel feed line,топливоподающий трубопровод,candidate
fuel filler pipe,наливная труба топливного бака,candidate
fuel filter,топливный фильтр,candidate
fuel injector,топливная форсунка,candidate
fuel level sensor,датчик уровня топлива,candidate
fuel pipe joint,соединение топливопровода,candidate
fuel pressure regulator,регулятор давления топлива,candidate
fuel pressure sensor,датчик давления топлива,candidate
fuel pump module,модуль топливного насоса,reviewed
fuel rail,топливная рампа,candidate
fuel rail injector subassembly,топливная рампа с форсунками в сборе,candidate
fuel return line,топливопровод обратной подачи,reviewed
fuel supply line,топливопровод подачи топлива,reviewed
fuel supply pipe,топливоподающий трубопровод,candidate
fuel tank,топливный бак,candidate
fuel tank body,корпус топливного бака,candidate
gear backlash,боковой зазор в зацеплении,candidate
gear pump,шестерённый насос,candidate
gear set,комплект шестерён,candidate
gear wheel,зубчатое колесо,candidate
grind the surface,шлифовать поверхность,reviewed
grinding wheel,шлифовальный круг,candidate
half shaft,полуось,candidate
heat dissipation opening,проход для отвода тепла,candidate
heater hose,шланг отопителя,candidate
height control valve,клапан регулирования высоты кузова,candidate
hem flange adhesive,клей для завальцованных соединений,candidate
hex key,шестигранный ключ,candidate
high range,повышающий ряд,candidate
high-pressure fuel pump,топливный насос высокого давления,candidate
high-strength threadlocker,фиксатор резьбы высокой прочности,candidate
hose clamp,хомут шланга,candidate
hot tire pressure,давление в нагретой шине,candidate
hub bolt,болт ступицы,candidate
hub bore,диаметр центрального отверстия,candidate
hydraulic accumulator,гидроаккумулятор,reviewed
hydraulic circuit,гидравлический контур,candidate
hydraulic control unit,гидравлический блок управления,candidate
hydraulic cylinder,гидроцилиндр,candidate
hydraulic filter,гидравлический фильтр,candidate
hydraulic fluid,гидравлическая жидкость,candidate
hydraulic lash adjuster,гидрокомпенсатор зазора клапана,reviewed
hydraulic motor,гидромотор,candidate
hydraulic press,гидравлический пресс,candidate
hydraulic pump,гидравлический насос,candidate
hydraulic reservoir,гидравлический бак,candidate
hydraulic system,гидравлическая система,candidate
idler gear,промежуточная шестерня,candidate
idler pulley,обводной ролик,candidate
impact socket,ударная торцовая головка,candidate
impeller,насосное колесо гидротрансформатора,candidate
inflate the tire,накачать шину,candidate
inner brake pad,внутренняя тормозная колодка,candidate
inner CV joint,внутренний ШРУС,candidate
inner liner,герметизирующий слой шины,candidate
input shaft,первичный вал,candidate
inside marking,маркировка внутренней стороны,candidate
inspect,проверить,reviewed
inspect pad thickness,проверить толщину тормозных колодок,candidate
inspect the hose for cracks,проверить шланг на наличие трещин,candidate
inspect the tread,проверить состояние протектора,candidate
install a new valve,установить новый вентиль,candidate
install flush,установить заподлицо,candidate
install in the reverse order of removal,"установить в порядке, обратном снятию",reviewed
install squarely,установить без перекоса,candidate
install with the lip facing inward,установить рабочей кромкой внутрь,candidate
install with the spring side inward,установить стороной с пружиной внутрь,candidate
installer,установочная оправка,candidate
intake air temperature sensor,датчик температуры впускного воздуха,candidate
intake manifold,впускной коллектор,candidate
intake valve,впускной клапан,candidate
interlock mechanism,механизм блокировки,candidate
intermediate steering shaft,промежуточный рулевой вал,candidate
internal leakage,внутренняя утечка,candidate
internal retaining ring,внутреннее стопорное кольцо,candidate
jack the vehicle,поднять автомобиль домкратом,candidate
joint boot,защитный чехол шарнира,candidate
keep hands away from moving parts,не приближать руки к движущимся деталям,candidate
lateral runout,осевое биение,candidate
lay shaft,промежуточный вал,candidate
leak-down test,проверка герметичности цилиндра,candidate
left and right removal methods are similar,порядок снятия с левой и правой сторон одинаков,candidate
lifting and jacking of vehicles,подъём автомобиля подъёмником и домкратом,candidate
limited-slip differential,дифференциал повышенного трения,candidate
line pressure,магистральное давление,candidate
liquid gasket,жидкая прокладка,candidate
listen for the locking click,убедиться в наличии щелчка фиксатора,candidate
load index,индекс нагрузки,candidate
lock washer,стопорная шайба,candidate
locking pliers,зажимные клещи,candidate
locking wheel nut,секретная колёсная гайка,candidate
locknut,контргайка,candidate
long block,двигатель без навесного оборудования,candidate
low oil pressure,низкое давление масла,candidate
low range,понижающий ряд,candidate
low-pressure fuel pump,топливный насос низкого давления,candidate
low-strength threadlocker,фиксатор резьбы низкой прочности,candidate
lower control arm,нижний рычаг подвески,candidate
lower radiator hose,нижний шланг радиатора,candidate
lower the vehicle to the ground,опустить автомобиль на землю,candidate
lubricate the sealing lip,смазать рабочую кромку манжеты,candidate
lubricate with clean engine oil,смазать чистым моторным маслом,candidate
lubricating grease,консистентная смазка,candidate
lubrication system,система смазки,candidate
machine screw,машинный винт,candidate
main bearing,коренной подшипник,candidate
main bearing cap,крышка коренного подшипника,candidate
main bearing shell,вкладыш коренного подшипника,candidate
main journal,коренная шейка,candidate
main shaft,главный вал,candidate
manifold absolute pressure sensor,датчик абсолютного давления во впускном коллекторе,candidate
manual transmission,механическая коробка передач,candidate
manual valve,клапан ручного выбора диапазона,candidate
mass air flow sensor,датчик массового расхода воздуха,candidate
mating surface,сопрягаемая поверхность,candidate
maximum inflation pressure,максимальное давление накачивания,candidate
measure disc runout,измерить биение тормозного диска,candidate
measure tread depth,измерить глубину рисунка протектора,candidate
medium-strength threadlocker,фиксатор резьбы средней прочности,candidate
mineral oil,минеральное масло,candidate
minimum disc thickness,минимально допустимая толщина тормозного диска,candidate
mount the tire,установить шину на обод,candidate
mounting head,монтажная головка шиномонтажного станка,candidate
move the component to the installation position,установить деталь в монтажное положение,candidate
move the seat to the front,переместить сиденье вперёд,candidate
move the seat to the rear,переместить сиденье назад,candidate
multi-plate clutch,многодисковая муфта,candidate
multipurpose grease,универсальная консистентная смазка,candidate
needle roller bearing,игольчатый подшипник,candidate
needle-nose pliers,длинногубцы,candidate
nut,гайка,candidate
observe the installation direction,соблюдать направление установки,candidate
oil capacity,заправочный объём масла,candidate
oil consumption,расход масла,candidate
oil control ring,маслосъёмное кольцо,candidate
oil cooler,масляный радиатор,candidate
oil dilution,разжижение масла топливом,candidate
oil drain plug,пробка сливного отверстия,candidate
oil filler plug,пробка заливного отверстия,candidate
oil filter,масляный фильтр,candidate
oil filter housing,корпус масляного фильтра,candidate
oil foaming,вспенивание масла,candidate
oil gallery,масляный канал,candidate
oil grade,класс моторного масла,candidate
oil inlet pipe,маслоподводящая трубка,candidate
oil jet,масляная форсунка,candidate
oil leak,утечка масла,candidate
oil level,уровень масла,candidate
oil level plug,пробка контрольного отверстия уровня масла,candidate
oil passage,канал подачи масла,candidate
oil pickup tube,маслоприёмная трубка,reviewed
oil pressure,давление масла,candidate
oil pressure relief valve,редукционный клапан давления масла,candidate
oil pressure sensor,датчик давления масла,candidate
oil pressure switch,датчик-сигнализатор давления масла,reviewed
oil pump,масляный насос,candidate
oil pump drive,привод масляного насоса,candidate
oil return pipe,маслоотводящая трубка,candidate
oil seepage,просачивание масла,candidate
oil separator,маслоотделитель,candidate
oil specification,спецификация моторного масла,candidate
oil starvation,масляное голодание,candidate
oil strainer,сетчатый фильтр маслоприёмника,reviewed
oil temperature,температура масла,candidate
oil viscosity,вязкость масла,candidate
open-end wrench,рожковый ключ,candidate
operating pressure,рабочее давление,candidate
outer brake pad,наружная тормозная колодка,candidate
outer CV joint,наружный ШРУС,candidate
output shaft,вторичный вал,candidate
outside marking,маркировка наружной стороны,candidate
overflow tank,переливной бачок,candidate
overheating,перегрев,candidate
overinflation,повышенное давление в шине,candidate
overload damage,повреждение вследствие перегрузки,candidate
panel bonding adhesive,клей для соединения кузовных панелей,candidate
panel clamp,зажим для кузовных панелей,candidate
penetrating oil,проникающая смазка,candidate
phasing marks,метки взаимного положения,candidate
Phillips screwdriver,крестовая отвёртка,candidate
pilot line,линия управления,candidate
pin punch,выколотка,candidate
pinion shaft,ось сателлитов,candidate
piston,поршень,candidate
piston cooling jet,масляная форсунка охлаждения поршня,candidate
piston crown,днище поршня,candidate
piston dust boot,пылезащитный чехол поршня,candidate
piston pin,поршневой палец,candidate
piston protrusion,выступание поршня,candidate
piston pump,поршневой насос,candidate
piston ring,поршневое кольцо,candidate
piston ring compressor,оправка для сжатия поршневых колец,candidate
piston ring end gap,зазор в замке поршневого кольца,candidate
piston seal,уплотнение поршня,candidate
piston skirt,юбка поршня,candidate
pitch circle diameter,диаметр расположения крепёжных отверстий,candidate
plain bearing,подшипник скольжения,candidate
planet carrier,водило,candidate
planet gear,сателлит,candidate
planetary gear set,планетарный ряд,candidate
planetary ring gear,коронная шестерня планетарного ряда,reviewed
plastic hammer,пластиковый молоток,candidate
pliers,пассатижи,candidate
ply,слой корда,candidate
pneumatic actuator,пневматический привод,candidate
pneumatic circuit,пневматический контур,candidate
pneumatic control valve,пневматический управляющий клапан,candidate
pneumatic system,пневматическая система,candidate
position,установить в требуемое положение,reviewed
positive crankcase ventilation valve,клапан принудительной вентиляции картера,reviewed
power steering fluid,рабочая жидкость усилителя рулевого управления,candidate
power steering pump,насос гидроусилителя рулевого управления,candidate
power steering reservoir,бачок рабочей жидкости усилителя рулевого управления,candidate
press in,запрессовать,candidate
press out,выпрессовать,candidate
press tool,приспособление для запрессовки,candidate
press-fit,посадка с натягом,candidate
pressure build-up time,время нарастания давления,candidate
pressure cap,герметичная крышка системы охлаждения,candidate
pressure control solenoid,электромагнитный клапан регулирования давления,candidate
pressure drop,падение давления,candidate
pressure gauge,манометр,candidate
pressure line,напорная магистраль,candidate
pressure pulsation,пульсация давления,candidate
pressure reducing valve,редукционный клапан,candidate
pressure regulator,регулятор давления,candidate
pressure relief valve,предохранительный клапан,candidate
pressure sensor,датчик давления,candidate
pressure switch,реле давления,candidate
pressure test,проверка давлением,candidate
pressure tester,прибор для проверки давления,candidate
prevent hands from being crushed,не допускать защемления рук,candidate
prime,предварительно заполнить рабочей жидкостью,reviewed
prime the oil pump,заполнить масляный насос перед запуском,candidate
primer,грунт,candidate
propeller shaft,карданный вал,candidate
proportional valve,пропорциональный клапан,candidate
protect the sealing lip,защитить рабочую кромку манжеты,candidate
puncture,прокол,candidate
push pin,пистон,candidate
push-type retainer,нажимной фиксатор,candidate
quick-release coupling,быстроразъёмная муфта,candidate
rack housing,картер рулевого механизма,candidate
radial runout,радиальное биение,candidate
radial tire,радиальная шина,candidate
radiator,радиатор,candidate
radiator cap,крышка радиатора,candidate
radiator core,сердцевина радиатора,candidate
radiator fan,вентилятор радиатора,candidate
radiator inlet hose,впускной шланг радиатора,candidate
radiator outlet hose,выпускной шланг радиатора,candidate
radiator tank,бачок радиатора,candidate
ratchet handle,трещоточная рукоятка,candidate
rear axle beam,балка задней подвески,candidate
rear crankshaft oil seal,задний сальник коленчатого вала,candidate
rear crankshaft seal,задний сальник коленчатого вала,candidate
recheck the wheel nut torque,повторно проверить момент затяжки колёсных гаек,candidate
recommended tire pressure,рекомендуемое давление в шинах,candidate
refill,заправить повторно,reviewed
reload the seat module software,повторно загрузить программное обеспечение модуля сиденья,candidate
remove the valve core,вывернуть золотник вентиля,candidate
replace after removal,заменить после снятия,candidate
replace the oil filter,заменить масляный фильтр,candidate
replace the sealing washer,заменить уплотнительную шайбу,candidate
replace the tire,заменить шину,candidate
residual pressure,остаточное давление,candidate
retaining clip,фиксирующий зажим,candidate
retaining ring,стопорное кольцо,candidate
retaining ring groove,канавка под стопорное кольцо,candidate
return line,сливная магистраль,candidate
return spring,стяжная пружина тормозных колодок,candidate
reverse idler gear,промежуточная шестерня заднего хода,candidate
ride height,высота положения кузова,candidate
rigid pipe,жёсткая трубка,candidate
rim diameter,посадочный диаметр обода,candidate
rim protector,защитная накладка обода,candidate
rim width,ширина обода,candidate
ring groove,канавка поршневого кольца,candidate
rivnut,заклёпочная гайка,candidate
road wheel,дисковое колесо,candidate
rocker arm,коромысло клапана,candidate
rod seal,уплотнение штока,candidate
roller bearing,роликовый подшипник,candidate
rolling bearing,подшипник качения,candidate
rotate,повернуть,reviewed
rotation arrow,стрелка направления вращения,candidate
rotation pattern,схема перестановки колёс,candidate
rubber mallet,резиновая киянка,candidate
run-flat tire,шина с возможностью движения при потере давления,candidate
runout,радиальное биение,candidate
sand,обработать шлифовальной бумагой,reviewed
sandblasting equipment,пескоструйное оборудование,candidate
screw,винт,candidate
screwdriver,отвёртка,candidate
seal driver,оправка для установки манжеты,candidate
seal puller,съёмник манжетных уплотнений,reviewed
sealant,герметик,candidate
seam sealer,шовный герметик,candidate
seat the bead,посадить борт шины на обод,candidate
section width,ширина профиля шины,candidate
selector lever,селектор передач,candidate
selector shaft,вал выбора передач,candidate
self-locking nut,самоконтрящаяся гайка,candidate
self-tapping screw,самонарезающий винт,candidate
sensor ID,идентификатор датчика,candidate
sensor valve,вентиль с датчиком давления,candidate
set screw,установочный винт,candidate
shaft end play,осевой зазор вала,candidate
shift fork,вилка переключения передач,candidate
shift lever,рычаг переключения передач,candidate
shift rail,шток переключения передач,candidate
shift rod,тяга переключения передач,candidate
shift solenoid,электромагнитный клапан переключения передач,candidate
shim,регулировочная шайба,candidate
shock absorber,амортизатор,candidate
short block,блок цилиндров в сборе с кривошипно-шатунным механизмом,candidate
shoulder bolt,болт с буртиком,candidate
shoulder wear,износ плечевых зон,candidate
shut-off valve,запорный клапан,candidate
side cutters,бокорезы,candidate
sidewall bulge,вздутие боковины,candidate
sidewall damage,повреждение боковины,candidate
silicone grease,силиконовая смазка,candidate
silicone sealant,силиконовый герметик,candidate
single-acting cylinder,гидроцилиндр одностороннего действия,candidate
sleeve,втулка,candidate
slide hammer,обратный молоток,candidate
slip yoke,скользящая вилка,candidate
slow leak,медленная утечка воздуха,candidate
snap ring,стопорное кольцо,reviewed
snap ring pliers,съёмник стопорных колец,candidate
socket,торцовая головка,candidate
socket wrench,торцовый ключ,candidate
soft jaws,мягкие губки тисков,candidate
solenoid valve,электромагнитный клапан,candidate
sound deadener,шумопоглощающий материал,candidate
spacer,проставка,candidate
spare tire,запасная шина,candidate
special service tool,специальный сервисный инструмент,candidate
speed rating,индекс скорости,candidate
spline,шлицевое соединение,candidate
splined shaft,шлицевой вал,candidate
split pin,шплинт,candidate
spool valve,золотниковый клапан,candidate
spot weld cutter,фреза для высверливания сварных точек,candidate
sprayable seam sealer,распыляемый шовный герметик,candidate
spring clip,пружинный зажим,candidate
spring compressor,стяжка пружины,candidate
spring pin,пружинный штифт,candidate
spring seat,опора пружины,candidate
