source,target_preferred,status
outboard seat adjustment switch,наружный переключатель регулировки сиденья,candidate
overhead console unit,потолочная консоль в сборе,candidate
overload damage,повреждение вследствие перегрузки,candidate
park the vehicle on level ground,установить автомобиль на ровной горизонтальной площадке,candidate
parking brake cable mounting plate assembly,панель крепления троса стояночного тормоза в сборе,candidate
passenger seat,сиденье переднего пассажира,candidate
passenger seat assembly procedure,сборка сиденья переднего пассажира,candidate
passenger seat disassembly,разборка сиденья переднего пассажира,candidate
passenger seat module,модуль сиденья переднего пассажира,candidate
perform adjustment if necessary,при необходимости выполнить регулировку,candidate
polish the repair area,зачистить ремонтируемый участок,candidate
polish the welding surface to bare metal,зачистить сварочную поверхность до чистого металла,candidate
power circuit,цепь питания,candidate
power seat switch and control panel,панель переключателей управления электроприводом сиденья,candidate
power seat switch panel,панель переключателей электрорегулировки сиденья,candidate
preliminary positioning,предварительное позиционирование,candidate
preset position,предустановленное положение,candidate
prevent fin damage,не допускать повреждения пластин,candidate
prevent hands from being crushed,не допускать защемления рук,candidate
protective clothing,защитная одежда,candidate
protective cream,защитный крем,candidate
pry off the guide sleeve,поддеть и снять направляющую втулку,candidate
radiator frame,рамка радиатора,candidate
radiator inlet hose,впускной шланг радиатора,candidate
radiator outlet hose,выпускной шланг радиатора,candidate
radio frequency antenna,радиочастотная антенна,candidate
radio frequency antenna connector,разъём радиочастотной антенны,candidate
radio frequency antenna replacement,замена радиочастотной антенны,candidate
rated voltage,номинальное напряжение,candidate
rear bumper harness,жгут проводов заднего бампера,candidate
rear bumper lower body,нижняя часть заднего бампера,candidate
rear bumper lower panel,нижняя панель заднего бампера,candidate
rear combination lamp mounting hole,отверстие крепления заднего комбинированного фонаря,candidate
rear crankshaft oil seal,задний сальник коленчатого вала,candidate
rear defogger switch,выключатель обогрева заднего стекла,candidate
rear door sill trim panel,облицовка порога задней двери,candidate
rear floor rear connecting plate,задняя соединительная панель задней части пола,candidate
rear floor right rear connecting plate,правая задняя соединительная панель задней части пола,candidate
rear keyless vehicle antenna,задняя антенна системы бесключевого доступа,candidate
rear overhead console,задняя потолочная консоль,candidate
rear quarter window glass,стекло задней боковины,candidate
rear seat backrest assembly,спинка заднего сиденья в сборе,candidate
rear seat belt retractor bracket supporting plate,опорная пластина кронштейна втягивающего устройства заднего ремня безопасности,candidate
rear seat cushion,подушка заднего сиденья,candidate
rear seat left backrest assembly,левая спинка заднего сиденья в сборе,candidate
rear seat right backrest assembly,правая спинка заднего сиденья в сборе,candidate
rear section of the seat sliding rail,задняя часть салазок сиденья,candidate
rear track width,колея задних колёс,candidate
rear wall panel assembly,панель задней стенки кузова в сборе,candidate
rear wheel arch trim panel,накладка задней колёсной арки,candidate
rear wheel brow trim panel,облицовка арки заднего колеса,candidate
rear windscreen harness,жгут проводов заднего стекла,candidate
rear windscreen heated defrost control,управление электрообогревом заднего стекла,candidate
rear windscreen heater,нагревательный элемент заднего стекла,candidate
rearview mirror glass,стекло наружного зеркала заднего вида,candidate
rearview mirror heating element,нагревательный элемент наружного зеркала заднего вида,candidate
record a DTC,записать диагностический код неисправности,candidate
reload SMD,повторно загрузить программное обеспечение модуля сиденья,candidate
reload the seat module software,повторно загрузить программное обеспечение модуля сиденья,candidate
remove paint rust and adhesive residues,удалить остатки краски ржавчины и клея,candidate
remove the horn,снять звуковой сигнал,candidate
remove the seat cushion foam with cover,снять подушку сиденья с обивкой в сборе,candidate
remove welding marks,удалить следы сварки,candidate
request medical assistance,вызвать медицинскую помощь,candidate
respiratory protection,средства защиты органов дыхания,candidate
rewire the bus lead,повторно припаять токоведущий вывод,candidate
right front seat assembly,правое переднее сиденье в сборе,candidate
right front seat left guard,левый боковой кожух правого переднего сиденья,candidate
right front seat right guard,правый боковой кожух правого переднего сиденья,candidate
rinse with water,промыть водой,candidate
roof harness,жгут проводов крыши,candidate
roof harness connector,разъём жгута проводов крыши,candidate
roof interior trim panel,обивка потолка,candidate
rosin flux,канифольный флюс,candidate
sandblasting equipment,пескоструйное оборудование,candidate
seat adjustment button ring,декоративное кольцо кнопки регулировки сиденья,candidate
seat adjustment switch signal,сигнал переключателя регулировки сиденья,candidate
seat adjustment system,система регулировки сиденья,candidate
seat adjustment system principle,принцип работы системы регулировки сиденья,candidate
seat assembly,сиденье в сборе,candidate
seat back cover,крышка спинки сиденья,candidate
seat back foam with cover,набивка спинки сиденья с обивкой в сборе,candidate
seat backrest,спинка сиденья,candidate
seat backrest frame,каркас спинки сиденья,candidate
seat belt buckle sensor,датчик замка ремня безопасности,candidate
seat cushion foam with cover,подушка сиденья с обивкой в сборе,candidate
seat fixing bolt,болт крепления сиденья,candidate
seat harness,жгут проводов сиденья,candidate
seat harness connector,разъём жгута проводов сиденья,candidate
seat harness fixing clip,фиксатор жгута проводов сиденья,candidate
seat heating,обогрев сиденья,candidate
seat heating control module,модуль управления обогревом сиденья,candidate
seat heating request signal,сигнал запроса обогрева сиденья,candidate
seat heating temperature,температура обогрева сиденья,candidate
seat heating wire,нагревательный элемент сиденья,candidate
seat height motor,электродвигатель регулировки высоты сиденья,candidate
seat height motor bracket,кронштейн электродвигателя регулировки высоты сиденья,candidate
seat height motor connector,разъём электродвигателя регулировки высоты сиденья,candidate
seat leg guard,защитный кожух основания сиденья,candidate
seat leg support,опора ног сиденья,candidate
seat leg support foam block,пенополиуретановый вкладыш опоры ног,candidate
seat lifting mechanism,механизм подъёма сиденья,candidate
seat lifting motor bracket,кронштейн электродвигателя подъёма сиденья,candidate
seat memory adjustment,регулировка положения сиденья по памяти,candidate
seat memory function,функция памяти положения сиденья,candidate
seat memory position signal,сигнал запоминаемого положения сиденья,candidate
seat module fixing screw,винт крепления модуля сиденья,candidate
seat module software,программное обеспечение модуля сиденья,candidate
seat motor,электродвигатель регулировки сиденья,candidate
seat side guard,боковой защитный кожух сиденья,candidate
seat ventilation,вентиляция сиденья,candidate
seek medical attention,обратиться за медицинской помощью,candidate
separate the panel from the body,отделить панель от кузова,candidate
sharp edge,острая кромка,candidate
six-way adjustment,шестипозиционная регулировка,candidate
skin allergy,аллергическая реакция кожи,candidate
skin irritation,раздражение кожи,candidate
sliding rail end trim cover,декоративная крышка конца салазки,candidate
solder,припой,candidate
soldering iron,паяльник,candidate
sound a warning,подать звуковой сигнал,candidate
sound pressure level,уровень звукового давления,candidate
sound-producing device,звуковое сигнальное устройство,candidate
standard mark,контрольная метка,candidate
steering wheel horn button,кнопка звукового сигнала на рулевом колесе,candidate
strut mounting hole,отверстие крепления газонаполненного упора,candidate
stud distribution,расположение приварных шпилек,candidate
suitable fire extinguisher,подходящий огнетушитель,candidate
sun visor,солнцезащитный козырёк,candidate
supply power to the horn,подать питание на звуковой сигнал,candidate
supply power to the windscreen heater,подать питание на обогреватель стекла,candidate
switch position,положение переключателя,candidate
tail keyless vehicle antenna,задняя антенна системы бесключевого доступа,candidate
tailgate upper interior trim panel assembly,верхняя облицовка двери багажного отделения в сборе,candidate
temperature monitoring,контроль температуры,candidate
temporarily install the new component,временно установить новую деталь,candidate
test voltage,испытательное напряжение,candidate
thermal cutting,термическая резка,candidate
thermostat opening and closing,открытие и закрытие термостата,candidate
thigh support,поддержка бёдер,candidate
timing cover,крышка привода газораспределительного механизма,candidate
transparent conductive film,прозрачная токопроводящая плёнка,candidate
trunk sill trim panel assembly,облицовка порога багажного отделения в сборе,candidate
turn off the power supply,отключить питание,candidate
unauthorized entry warning,предупреждение о несанкционированном проникновении,candidate
uncured foam,неотверждённая пена,candidate
uniformly arranged heating wires,равномерно расположенные нагревательные дорожки,candidate
used engine oil,отработанное моторное масло,candidate
used oil filter,отработанный масляный фильтр,candidate
vapor and spray,пары и аэрозоль,candidate
VCU mounting bracket assembly,кронштейн крепления VCU в сборе,candidate
vehicle body floor,панель пола кузова,candidate
vehicle height,высота автомобиля,candidate
vehicle length,длина автомобиля,candidate
vehicle locating function,функция поиска автомобиля,candidate
vehicle search function,функция поиска автомобиля,candidate
vehicle width,ширина автомобиля,candidate
verify connector locking,проверить фиксацию разъёма,candidate
visor hook,фиксатор солнцезащитного козырька,candidate
voltage lower limit,нижний предел напряжения,candidate
voltage upper limit,верхний предел напряжения,candidate
warn pedestrians and other vehicles,предупреждать пешеходов и водителей других автомобилей,candidate
waste gas,отработавшие газы,candidate
weld respectively to,приварить соответственно к,candidate
welding location,место сварки,candidate
welding operation,сварочная операция,candidate
well-ventilated area,хорошо проветриваемая зона,candidate
wheelbase,колёсная база,candidate
windscreen defrost system,система обогрева ветрового стекла,candidate
windscreen fogging,запотевание ветрового стекла,candidate
windscreen frost,иней на ветровом стекле,candidate
wiping cloth,обтирочная ветошь,candidate
working area,рабочая зона,candidate
working condition,исправное состояние,candidate
workshop tools and equipment,инструменты и оборудование мастерской,candidate
