source,target_preferred,status
ball joint separator,съёмник шаровых шарниров,candidate
banjo bolt,полый болт,candidate
banjo fitting,штуцер типа банджо,candidate
basic software,базовое программное обеспечение,candidate
battery,аккумуляторная батарея,candidate
battery cable,провод аккумуляторной батареи,candidate
battery case,корпус аккумуляторной батареи,candidate
battery cell,аккумуляторный элемент,candidate
battery electric vehicle,аккумуляторный электромобиль,candidate
battery hold-down clamp,прижимная планка аккумуляторной батареи,candidate
battery management system,система управления аккумуляторной батареей,candidate
battery preconditioning,предварительная термоподготовка батареи,candidate
battery terminal,клемма аккумуляторной батареи,candidate
battery tray,поддон аккумуляторной батареи,candidate
battery voltage,напряжение аккумуляторной батареи,candidate
baulk ring,блокирующее кольцо синхронизатора,candidate
BDC,НМТ,approved
bead breaker,устройство отрыва борта шины,candidate
bead lubricant,монтажная смазка для борта шины,candidate
bead seat,посадочная полка обода,candidate
bead wire,бортовое кольцо шины,candidate
bearing cage,сепаратор подшипника,candidate
bearing clearance,зазор в подшипнике,candidate
bearing driver,оправка для установки подшипника,candidate
bearing end play,осевой люфт подшипника,candidate
bearing inner race,внутреннее кольцо подшипника,candidate
bearing outer race,наружное кольцо подшипника,candidate
bearing preload,предварительный натяг подшипника,candidate
bearing puller,съёмник подшипников,reviewed
bearing seat,посадочное место подшипника,candidate
bearing seizure,заклинивание подшипника,candidate
bell housing,картер сцепления,candidate
belt package,брекерный пояс,candidate
belt separation,расслоение брекера,candidate
belt tensioner,натяжитель ремня,candidate
bench vise,слесарные тиски,candidate
bend,согнуть,candidate
bend back,отогнуть,candidate
bladder accumulator,баллонный гидроаккумулятор,candidate
bleed,удалить воздух,candidate
bleed nipple,штуцер для удаления воздуха,candidate
bleed screw,штуцер для удаления воздуха,reviewed
bleed the brake system,удалить воздух из тормозной системы,candidate
bleed the brakes,удалить воздух из тормозной системы,candidate
bleed the cooling system,удалить воздух из системы охлаждения,candidate
bleed the hydraulic system,удалить воздух из гидравлической системы,candidate
bleeder screw,штуцер для удаления воздуха,candidate
blend door,заслонка смешивания воздуха,candidate
blind rivet,вытяжная заклёпка,candidate
blind spot detection,контроль слепых зон,candidate
blow clean,продуть сжатым воздухом,candidate
blow from back to front,продувать сзади вперёд,candidate
blow out with compressed air,продуть сжатым воздухом,candidate
blower control module,блок управления вентилятором,candidate
blower motor,электродвигатель вентилятора отопителя,candidate
blower motor resistor,резистор электродвигателя вентилятора,candidate
blower wheel,крыльчатка вентилятора отопителя,candidate
body alignment bench,стапель для правки кузова,candidate
body control module,блок управления электрооборудованием кузова,candidate
body datum point,контрольная точка кузова,candidate
body dimension,контрольный размер кузова,candidate
Body dimensions,Контрольные размеры кузова,approved
body filler,кузовная шпатлёвка,candidate
body gateway module,центральный шлюзовой модуль кузовной электроники,reviewed
body measuring system,система измерения геометрии кузова,candidate
body opening,проём кузова,candidate
body panel,кузовная панель,candidate
body rear dimensions,контрольные размеры задней части кузова,candidate
Body repair,Кузовной ремонт,approved
body sealant,кузовной герметик,candidate
body sealing materials,кузовные герметизирующие материалы,candidate
body side inner,внутренняя боковина кузова,candidate
body side outer,наружная боковина кузова,candidate
body straightening,правка кузова,candidate
body structural adhesive,конструкционный клей для кузова,candidate
body wire harness,кузовной жгут проводов,candidate
body-in-white,кузов в сборе до окраски,candidate
boiling point,температура кипения,candidate
bolt,болт,candidate
bolt on,закрепить болтами,candidate
bolt pattern,схема расположения крепёжных отверстий,candidate
bond,склеить,candidate
bonded seal,металлорезиновая уплотнительная шайба,candidate
boost control solenoid,электромагнитный клапан управления наддувом,candidate
boost pressure sensor,датчик давления наддува,candidate
boot clamp,хомут защитного чехла,candidate
bore wear,износ цилиндра,candidate
box-end wrench,накидной ключ,candidate
brake band,тормозная лента,candidate
brake booster,вакуумный усилитель тормозов,reviewed
brake booster check valve,обратный клапан усилителя тормозов,candidate
brake caliper,тормозной суппорт,candidate
brake cleaner,очиститель тормозов,candidate
brake control module,блок управления тормозной системой,candidate
brake disc,тормозной диск,candidate
brake disc thickness,толщина тормозного диска,candidate
brake drum,тормозной барабан,candidate
brake fluid,тормозная жидкость,candidate
brake fluid level,уровень тормозной жидкости,candidate
brake fluid reservoir,бачок тормозной жидкости,candidate
brake grease,смазка для тормозных механизмов,candidate
brake hose,тормозной шланг,candidate
brake master cylinder,главный тормозной цилиндр,candidate
brake pad,тормозная колодка,candidate
brake pad shim,противошумная пластина тормозной колодки,candidate
brake pad wear indicator,индикатор износа тормозной колодки,candidate
brake pedal,педаль тормоза,candidate
brake pedal free play,свободный ход педали тормоза,candidate
brake pedal position,положение педали тормоза,candidate
brake pedal travel,ход педали тормоза,candidate
brake pipe,тормозная трубка,candidate
brake pressure sensor,датчик давления в тормозной системе,candidate
brake shoe,тормозная колодка барабанного тормоза,candidate
branch harness,ответвительный жгут проводов,candidate
brass drift,латунная выколотка,candidate
braze,выполнить пайку твёрдым припоем,candidate
braze welding,сварка-пайка,candidate
break the bead,отделить борт шины от обода,candidate
breaker bar,вороток,candidate
brushable seam sealer,кистевой шовный герметик,candidate
buckling,потеря устойчивости панели,candidate
bump stop,буфер хода сжатия,candidate
bumper reinforcement,усилитель бампера,candidate
bus off state,состояние отключения от шины,candidate
bushing,втулка,candidate
butt joint,стыковое соединение,candidate
butt weld,стыковой сварной шов,candidate
bypass passage,обводной канал,candidate
C-pillar,задняя стойка кузова,candidate
C-pillar trim,облицовка задней стойки,candidate
C-pillar upper trim panel assembly,верхняя облицовка стойки C в сборе,candidate
cabin air filter,салонный фильтр,candidate
cabin temperature,температура в салоне,candidate
cage nut,закладная гайка,candidate
calibrate,откалибровать,candidate
calibrate steering angle sensor,откалибровать датчик угла поворота рулевого колеса,candidate
caliper bracket,скоба тормозного суппорта,candidate
caliper guide pin,направляющий палец суппорта,candidate
caliper piston,поршень тормозного суппорта,candidate
camber angle,угол развала колеса,candidate
camshaft,распределительный вал,candidate
camshaft bearing cap,крышка подшипника распределительного вала,candidate
camshaft end play,осевой зазор распределительного вала,candidate
camshaft lobe,кулачок распределительного вала,candidate
camshaft oil seal,сальник распределительного вала,candidate
camshaft phaser,фазорегулятор распределительного вала,candidate
camshaft position sensor,датчик положения распределительного вала,candidate
CAN bus,шина CAN,candidate
CAN communication,обмен данными по шине CAN,candidate
CAN flexible data-rate,CAN с гибкой скоростью передачи данных,candidate
CAN signal,сигнал шины CAN,candidate
carbon brush,угольная щётка,candidate
carbon monoxide,оксид углерода,candidate
carcass,каркас шины,candidate
carpet,ковровое покрытие пола,candidate
caster angle,угол продольного наклона оси поворота,candidate
castle nut,корончатая гайка,candidate
catalytic converter,каталитический нейтрализатор,candidate
Caution,Внимание,approved
cavitation,кавитация,candidate
cavity wax,антикоррозионный состав для скрытых полостей,candidate
cell balancing,балансировка элементов батареи,candidate
center,отцентрировать,candidate
center bearing,промежуточная опора карданного вала,candidate
center cap,центральный колпачок колеса,candidate
center console,центральная консоль,candidate
center differential,межосевой дифференциал,candidate
center finish panel,центральная декоративная панель,candidate
center punch,кернер,candidate
center the steering wheel,установить рулевое колесо в среднее положение,candidate
center tunnel lower front reinforcement,нижний передний усилитель центрального тоннеля,candidate
center vent,центральный дефлектор,candidate
center wear,износ центральной части протектора,candidate
centerline,продольная ось кузова,candidate
central console display,дисплей центральной консоли,candidate
central gateway,центральный шлюз,candidate
change the engine oil,заменить моторное масло,candidate
charge,зарядить,candidate
charge air cooler,охладитель наддувочного воздуха,candidate
charge air hose,шланг наддувочного воздуха,candidate
charge the specified amount of refrigerant,заправить установленное количество хладагента,candidate
charging connector,зарядный соединитель,candidate
charging inlet,зарядный разъём автомобиля,candidate
charging point,зарядная точка,candidate
charging session,сеанс зарядки,candidate
charging station,зарядная станция,candidate
charging system,система зарядки,candidate
chase the thread,восстановить резьбу,candidate
check,проверить,candidate
check and measure the position dimensions,проверить и измерить установочные размеры,candidate
check bearing preload,проверить предварительный натяг подшипника,candidate
check bearing rotation,проверить вращение подшипника,candidate
check brake fluid level,проверить уровень тормозной жидкости,candidate
check connector engagement,проверить фиксацию разъёма,candidate
check cooling performance,проверить эффективность охлаждения,candidate
check fluid level,проверить уровень рабочей жидкости,candidate
check for abnormal noise,проверить на наличие постороннего шума,candidate
check for clogging,проверить на наличие засорения,candidate
check for continuity,проверить электрическую цепь на обрыв,candidate
check for coolant leaks,проверить систему на отсутствие утечек охлаждающей жидкости,candidate
check for corrosion,проверить на наличие коррозии,candidate
check for cracks,проверить на наличие трещин,candidate
check for damage,проверить на наличие повреждений,candidate
check for deformation,проверить на наличие деформации,candidate
check for deformation or corrosion,проверить на наличие деформации или коррозии,candidate
check for diagnostic trouble codes,проверить наличие диагностических кодов неисправностей,candidate
check for excessive play,проверить на наличие чрезмерного люфта,candidate
check for free movement,проверить свободу перемещения,candidate
check for leakage,проверить на наличие утечек,reviewed
check for leakage after assembly,после сборки проверить на наличие утечек,candidate
check for leaks,проверить на наличие утечек,candidate
check for looseness,проверить на наличие люфта,candidate
check for oil leaks,проверить на отсутствие утечек масла,candidate
check for play,проверить наличие люфта,candidate
check for smooth operation,проверить плавность работы,candidate
check for wear,проверить на наличие износа,candidate
check operation,проверить работу,candidate
check terminal tension,проверить усилие удержания контакта,candidate
check the body dimensions,проверить контрольные размеры кузова,candidate
check the clearance,проверить зазор,candidate
check the connector terminals,проверить контакты разъёма,candidate
check the coolant concentration,проверить концентрацию охлаждающей жидкости,candidate
check the coolant level,проверить уровень охлаждающей жидкости,candidate
check the end play,проверить осевой зазор,candidate
check the fluid level,проверить уровень рабочей жидкости,candidate
check the flushness,проверить положение панелей по высоте,candidate
check the ground connection,проверить соединение с массой,candidate
check the installation depth,проверить глубину установки,candidate
check the oil level,проверить уровень масла,candidate
check the oil pressure,проверить давление масла,candidate
check the panel gaps,проверить зазоры между панелями,candidate
check the power supply,проверить цепь питания,candidate
check the resistance,измерить сопротивление,candidate
check the voltage,измерить напряжение,candidate
check tire pressure,проверить давление в шинах,candidate
check valve,обратный клапан,candidate
check wheel alignment,проверить углы установки колёс,candidate
check wheel runout,проверить биение колеса,candidate
circlip,стопорное кольцо,candidate
circuit breaker,автоматический выключатель,candidate
clamp the panel in position,зафиксировать панель зажимами,candidate
clean,очистить,candidate
clean the mating surfaces,очистить сопрягаемые поверхности,candidate
clean the surface of foreign matter,очистить поверхность от посторонних материалов,candidate
clean the thread,очистить резьбу,candidate
cleaning solvent,очиститель-растворитель,candidate
clear diagnostic information,очистка диагностической информации,candidate
clear diagnostic trouble codes,удалить диагностические коды неисправностей,candidate
clear the fault memory,очистить память неисправностей,candidate
clearance fit,посадка с зазором,candidate
clevis pin,палец вилки,candidate
clip,зажим,candidate
clip into place,зафиксировать зажимами,candidate
clip-on weight,набивной балансировочный груз,candidate
closure panel,закрывающая панель,candidate
clutch actuator,исполнительный механизм сцепления,candidate
clutch cover,кожух сцепления,candidate
clutch disc,ведомый диск сцепления,candidate
clutch engagement point,точка включения сцепления,candidate
clutch judder,рывки при включении сцепления,candidate
clutch master cylinder,главный цилиндр привода сцепления,candidate
clutch pack,пакет фрикционов,candidate
clutch pedal free play,свободный ход педали сцепления,candidate
clutch pressure plate,нажимной диск сцепления,candidate
clutch release bearing,подшипник выключения сцепления,reviewed
clutch release fork,вилка выключения сцепления,candidate
clutch slave cylinder,рабочий цилиндр привода сцепления,candidate
clutch slip,пробуксовка сцепления,candidate
coat,покрыть,candidate
coat with engine oil,смазать моторным маслом,candidate
coat with grease,нанести консистентную смазку,candidate
coil spring,винтовая пружина,candidate
cold engine,холодный двигатель,candidate
cold tire pressure,давление в холодной шине,candidate
collision damage,аварийное повреждение,candidate
combination wrench,комбинированный ключ,candidate
combined charging system,комбинированная зарядная система,candidate
combustion chamber,камера сгорания,candidate
common rail,аккумуляторная топливная рампа,candidate
communication bus,шина связи,candidate
communication control,управление связью,candidate
communication management,управление связью,candidate
compact spare tire,малоразмерное запасное колесо,candidate
compare with specification,сравнить с установленным значением,candidate
compare with the specification,сравнить с установленным значением,candidate
composite gasket,композитная прокладка,candidate
compressed air,сжатый воздух,candidate
compression gauge,компрессометр,candidate
compression pressure,давление сжатия,candidate
compression ratio,степень сжатия,candidate
compression ring,компрессионное кольцо,candidate
compressor clutch,муфта компрессора кондиционера,candidate
compressor control valve,регулирующий клапан компрессора,candidate
compressor oil,масло компрессора кондиционера,candidate
concrete scenario,конкретный сценарий,candidate
condenser,конденсор,candidate
conductive adhesive,токопроводящий клей,candidate
conductive charging,контактная зарядка,candidate
configure,настроить,candidate
confined space,замкнутое пространство,candidate
confirm,подтвердить,candidate
connect,подсоединить,candidate
connect the horn harness connector,подсоединить разъём жгута проводов звукового сигнала,candidate
connecting rod,шатун,candidate
connecting rod bearing,шатунный подшипник,candidate
connecting rod bearing shell,вкладыш шатунного подшипника,candidate
connector housing,корпус разъёма,candidate
connector terminal,контакт разъёма,candidate
console side panel,боковая панель консоли,candidate
constant velocity joint,шарнир равных угловых скоростей,candidate
contact cleaner,очиститель электрических контактов,candidate
contaminated area,загрязнённый участок,candidate
contaminated oil,загрязнённое масло,candidate
Content,Содержимое,reviewed
Contents,Содержание,approved
continuity test,проверка целостности цепи,candidate
continuously variable transmission,бесступенчатая трансмиссия,candidate
control arm,рычаг подвески,candidate
control arm bushing,сайлентблок рычага подвески,candidate
control module,блок управления,candidate
control valve body,блок гидравлических клапанов,candidate
controller area network,сеть контроллеров,candidate
coolant,охлаждающая жидкость,candidate
coolant circulation,циркуляция охлаждающей жидкости,candidate
coolant concentration,концентрация охлаждающей жидкости,candidate
coolant flow,поток охлаждающей жидкости,candidate
coolant inlet,входной патрубок охлаждающей жидкости,candidate
coolant leak,утечка охлаждающей жидкости,candidate
coolant leak check,проверка на утечки охлаждающей жидкости,candidate
coolant level check,проверка уровня охлаждающей жидкости,candidate
coolant level sensor,датчик уровня охлаждающей жидкости,candidate
coolant mixture,смесь охлаждающей жидкости,candidate
coolant outlet,выходной патрубок охлаждающей жидкости,candidate
coolant passage,канал охлаждающей жидкости,candidate
coolant pipe,трубопровод охлаждающей жидкости,candidate
coolant pump,насос охлаждающей жидкости,candidate
coolant refill hose,шланг заправки охлаждающей жидкости,candidate
coolant reservoir,бачок охлаждающей жидкости,candidate
coolant seepage,просачивание охлаждающей жидкости,candidate
coolant temperature sensor,датчик температуры охлаждающей жидкости,candidate
coolant vent pipe,воздухоотводящая трубка системы охлаждения,candidate
cooling fan,вентилятор системы охлаждения,candidate
cooling fan speed,частота вращения вентилятора системы охлаждения,candidate
cooling fin,охлаждающая пластина,candidate
cooling module,модуль охлаждения,candidate
cooling module cleaning,очистка модуля охлаждения,candidate
cooling module inspection,проверка модуля охлаждения,candidate
cooling system,система охлаждения,candidate
cooling system pressure,давление в системе охлаждения,candidate
cooling system pressure tester,прибор для проверки герметичности системы охлаждения,candidate
copper sealing washer,медная уплотнительная шайба,candidate
cord,корд,candidate
corrosion perforation,сквозная коррозия,candidate
corrosion protection,антикоррозионная защита,approved
cotter pin,шплинт,candidate
countershaft,промежуточный вал,candidate
cover the exposed components,закрыть открытые компоненты,candidate
cowl panel,панель передка кузова,candidate
crack,трещина,candidate
crankcase breather hose,шланг вентиляции картера,candidate
crankcase ventilation,вентиляция картера,candidate
crankcase ventilation hose,шланг вентиляции картера,candidate
cranking voltage,напряжение при прокручивании,candidate
crankpin,шатунная шейка коленчатого вала,reviewed
crankshaft,коленчатый вал,candidate
crankshaft end play,осевой зазор коленчатого вала,candidate
crankshaft journal,шейка коленчатого вала,candidate
crankshaft main journal,коренная шейка коленчатого вала,candidate
crankshaft position sensor,датчик положения коленчатого вала,candidate
crankshaft pulley,шкив коленчатого вала,candidate
crankshaft thrust washer,упорная шайба коленчатого вала,candidate
crash box,энергопоглощающий элемент бампера,candidate
crease,резкая складка,candidate
crimp,обжать,candidate
cross rotation,перекрёстная перестановка колёс,candidate
crush washer,деформируемая уплотнительная шайба,candidate
cryptography,криптографические службы,candidate
cupping wear,чашеобразный износ,candidate
cured foam,отверждённая пена,candidate
cut,отрезать,candidate
cut along the marked line,разрезать по отмеченной линии,candidate
cut location,место реза,candidate
cut the thread,нарезать резьбу,candidate
cut-in manoeuvre,манёвр перестроения перед автомобилем,candidate
cut-out manoeuvre,манёвр освобождения полосы перед автомобилем,candidate
cutting line,линия реза,candidate
cybersecurity management system,система управления кибербезопасностью,candidate
cylinder barrel,гильза гидроцилиндра,candidate
cylinder block,блок цилиндров,candidate
cylinder bore,цилиндр цилиндрового блока,reviewed
cylinder head,головка блока цилиндров,candidate
cylinder head cover,крышка головки блока цилиндров,candidate
cylinder head gasket,прокладка головки блока цилиндров,candidate
cylinder head-to-block joint,стык головки блока цилиндров с блоком цилиндров,candidate
cylinder liner,гильза цилиндра,candidate
cylinder out-of-round,овальность цилиндра,candidate
cylinder rod,шток гидроцилиндра,candidate
cylinder taper,конусность цилиндра,candidate
D-pillar trim panel mounting hole,отверстие крепления облицовки стойки D,candidate
Danger,Опасно,approved
dash panel,щит передка,candidate
data broker,брокер данных,candidate
data point,точка данных,candidate
DC/DC converter,преобразователь постоянного тока,candidate
deburr,зачистить заусенцы,candidate
deck lid,крышка багажника,candidate
deck lid inner panel,внутренняя панель крышки багажника,candidate
deck lid outer panel,наружная панель крышки багажника,candidate
deep socket,удлинённая торцовая головка,candidate
deflate the tire,стравить воздух из шины,candidate
defogging,устранение запотевания,candidate
deformation,деформация,candidate
defrost braided lead,плетёный вывод обогревателя стекла,candidate
defrost bus lead,токоведущий вывод обогревателя стекла,candidate
defrost mode,режим обдува ветрового стекла,candidate
defrost relay,реле обогрева стекла,candidate
defrost request signal,сигнал запроса обогрева стекла,candidate
defrost switch,выключатель обогрева стекла,candidate
defroster duct,воздуховод обдува ветрового стекла,candidate
defrosting and demisting system,система удаления инея и запотевания,candidate
defrosting effect,эффект удаления инея,candidate
degrease,обезжирить,candidate
degrease the sealing surface,обезжирить уплотняемую поверхность,candidate
demount the tire,снять шину с обода,candidate
dent,вмятина,candidate
depressurize,сбросить давление,candidate
depressurize the system,сбросить давление в системе,candidate
Description and operation,Описание и работа,approved
desired memory position,требуемое запоминаемое положение сиденья,candidate
detach,отсоединить,candidate
detent ball,фиксирующий шарик,candidate
detent spring,пружина фиксатора,candidate
diagnostic communication manager,менеджер диагностической связи,candidate
diagnostic event manager,менеджер диагностических событий,candidate
diagnostic session,диагностический сеанс,candidate
diagnostic session control,управление диагностическим сеансом,candidate
diagnostic tool,диагностический прибор,candidate
diagnostic trouble code,диагностический код неисправности,candidate
diagnostics over Internet Protocol,диагностика поверх интернет-протокола,candidate
diagonal measurement,диагональный размер,candidate
dial gauge stand,стойка индикатора,candidate
dial indicator,индикатор часового типа,candidate
diaphragm accumulator,мембранный гидроаккумулятор,candidate
diaphragm spring,диафрагменная пружина,candidate
diesel exhaust fluid,водный раствор мочевины для системы SCR,candidate
diesel particulate filter,сажевый фильтр дизельного двигателя,reviewed
differential,дифференциал,candidate
differential carrier,корпус дифференциала,candidate
differential case,корпус дифференциала,candidate
differential lock,блокировка дифференциала,candidate
differential pinion,сателлит дифференциала,candidate
differential ring gear,ведомая шестерня главной передачи,reviewed
differential side gear,полуосевая шестерня дифференциала,candidate
dimensional difference,допуск размера,candidate
direct contact protection,защита от прямого контакта,candidate
directional control valve,распределительный клапан,candidate
directional tire,шина с направленным рисунком протектора,candidate
disassemble,разобрать,candidate
Disassembly and assembly,Разборка и сборка,approved
disc runout,биение тормозного диска,candidate
discard,утилизировать,candidate
discard after removal,утилизировать после снятия,candidate
discharge,разрядить,candidate
disconnect,отсоединить,candidate
disconnect the floor harness connector,отсоединить разъём жгута проводов пола,candidate
disconnect the seat harness fixing clips,отсоединить фиксаторы жгута проводов сиденья,candidate
disengage,вывести из зацепления,candidate
display host unit,головное устройство дисплея,candidate
do not apply excessive sealant,не наносить избыточное количество герметика,candidate
do not bend,не сгибать,candidate
do not damage,не допускать повреждения,candidate
do not damage the clips,не повредить клипсы,candidate
do not damage the sealing lip,не повредить рабочую кромку манжеты,candidate
do not induce vomiting,не вызывать рвоту,candidate
do not overheat the conductor,не перегревать токопроводящую дорожку,candidate
do not pull on the wiring,не тянуть за провода,candidate
do not remove the cap when hot,не снимать крышку на горячем двигателе,candidate
do not reuse,не использовать повторно,reviewed
do not reuse the gasket,не использовать прокладку повторно,candidate
do not twist,не перекручивать,candidate
do not use gasoline as a cleaning agent,не использовать бензин в качестве очистителя,candidate
door hinge reinforcement,усилитель крепления петли двери,candidate
door intrusion beam,усилитель двери,candidate
door lock confirmation beep,звуковой сигнал подтверждения запирания дверей,candidate
door opening,дверной проём,candidate
door opening seal,уплотнитель дверного проёма,candidate
door pull handle,ручка закрывания двери,candidate
door rocker inner panel assembly,внутренняя панель порога кузова в сборе,candidate
door sill inner panel assembly,внутренняя панель порога в сборе,candidate
door sill trim panel,накладка порога дверного проёма,candidate
door striker reinforcement,усилитель крепления замка двери,candidate
door trim panel,обивка двери,candidate
door unlock confirmation beep,звуковой сигнал подтверждения отпирания дверей,candidate
double-acting cylinder,гидроцилиндр двустороннего действия,candidate
dowel pin,установочный штифт,candidate
downstream oxygen sensor,нижний датчик кислорода,candidate
drain,слить,candidate
drain completely,полностью слить,candidate
drain line,дренажная магистраль,candidate
drain the coolant,слить охлаждающую жидкость,candidate
drill,просверлить,candidate
drill a hole,просверлить отверстие,candidate
drill out,высверлить,candidate
drill out the spot welds,высверлить точки контактной сварки,reviewed
drivable area,"область, доступная для движения",candidate
drive gear,ведущая шестерня,candidate
drive in,забить,candidate
drive out,выбить,candidate
drive pinion,ведущая шестерня главной передачи,candidate
drive shaft,приводной вал,candidate
driven gear,ведомая шестерня,candidate
driver,монтажная оправка,candidate
driver availability recognition system,система распознавания готовности водителя,candidate
driver monitoring system,система контроля состояния водителя,candidate
driver seat,сиденье водителя,candidate
driver seat module,модуль сиденья водителя,candidate
driver seat sliding rail,салазки сиденья водителя,candidate
dry,высушить,candidate
dry insulating material,сухой изоляционный материал,candidate
dry rot,растрескивание резины от старения,candidate
