source,target_preferred,status,category,source_id,confidence,source_document,term_type,note
central console display,дисплей центральной консоли,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
CAN communication,обмен данными по шине CAN,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,communication,
CAN signal,сигнал шины CAN,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,signal,
record a DTC,записать диагностический код неисправности,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,procedure,
driver seat,сиденье водителя,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
passenger seat,сиденье переднего пассажира,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
front power seat assembly,переднее сиденье с электроприводом в сборе,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
left front seat assembly,левое переднее сиденье в сборе,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
right front seat assembly,правое переднее сиденье в сборе,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
driver seat sliding rail,салазки сиденья водителя,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
front seat sliding rail,салазки переднего сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
front passenger seat sliding rail,салазки сиденья переднего пассажира,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
inner sliding rail,внутренняя направляющая салазок,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
sliding rail end trim cover,декоративная крышка конца салазки,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
inner sliding rail rear end trim cover,задняя декоративная крышка внутренней направляющей салазок,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
vehicle body floor,панель пола кузова,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
floor harness assembly,жгут проводов пола в сборе,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
seat harness,жгут проводов сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
seat harness connector,разъём жгута проводов сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
seat harness fixing clip,фиксатор жгута проводов сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
seat belt buckle sensor,датчик замка ремня безопасности,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
front seat headrest,подголовник переднего сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
front headrest guide sleeve,направляющая втулка подголовника переднего сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
front headrest locking guide sleeve,фиксирующая направляющая втулка подголовника переднего сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
seat back cover,крышка спинки сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
seat backrest,спинка сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
seat backrest frame,каркас спинки сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
seat cushion foam with cover,подушка сиденья с обивкой в сборе,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
seat back foam with cover,набивка спинки сиденья с обивкой в сборе,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
seat leg support foam block,пенополиуретановый вкладыш опоры ног,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
seat leg guard,защитный кожух основания сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
seat side guard,боковой защитный кожух сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
left front seat left guard,левый боковой кожух левого переднего сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
left front seat right guard,правый боковой кожух левого переднего сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
right front seat left guard,левый боковой кожух правого переднего сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
right front seat right guard,правый боковой кожух правого переднего сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
seat adjustment button ring,декоративное кольцо кнопки регулировки сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
lumbar support adjustment button ring,декоративное кольцо кнопки регулировки поясничной поддержки,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
power seat switch and control panel,панель переключателей управления электроприводом сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
seat height motor,электродвигатель регулировки высоты сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
seat lifting motor bracket,кронштейн электродвигателя подъёма сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
passenger seat module,модуль сиденья переднего пассажира,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
move the seat to the front,переместить сиденье вперёд,candidate,service.procedure,N155_D2_CORPUS,high,N155_CORPUS,procedure,Нормализовано из OEM-формулировки
move the seat to the rear,переместить сиденье назад,candidate,service.procedure,N155_D2_CORPUS,high,N155_CORPUS,procedure,Нормализовано из OEM-формулировки
adjust the seat to the highest position,установить сиденье в крайнее верхнее положение,candidate,service.procedure,N155_D2_CORPUS,high,N155_CORPUS,procedure,Нормализовано из OEM-формулировки
move the component to the installation position,установить деталь в монтажное положение,candidate,service.procedure,N155_D2_CORPUS,high,N155_CORPUS,procedure,Нормализовано из OEM-формулировки
keep hands away from moving parts,не приближать руки к движущимся деталям,candidate,service.procedure,N155_D2_CORPUS,high,N155_CORPUS,procedure,Нормализовано из OEM-формулировки
prevent hands from being crushed,не допускать защемления рук,candidate,service.procedure,N155_D2_CORPUS,high,N155_CORPUS,procedure,Нормализовано из OEM-формулировки
ensure the connector is fully engaged,убедиться что разъём полностью соединён,candidate,service.procedure,N155_D2_CORPUS,high,N155_CORPUS,procedure,Нормализовано из OEM-формулировки
verify connector locking,проверить фиксацию разъёма,candidate,service.procedure,N155_D2_CORPUS,high,N155_CORPUS,procedure,Нормализовано из OEM-формулировки
listen for the locking click,убедиться в наличии щелчка фиксатора,candidate,service.procedure,N155_D2_CORPUS,high,N155_CORPUS,procedure,Нормализовано из OEM-формулировки
reload the seat module software,повторно загрузить программное обеспечение модуля сиденья,candidate,service.procedure,N155_D2_CORPUS,high,N155_CORPUS,procedure,Нормализовано из OEM-формулировки
install in the reverse order of removal,установить в порядке обратном снятию,candidate,service.procedure,N155_D2_CORPUS,high,N155_CORPUS,procedure,Нормализовано из OEM-формулировки
