source,target_preferred,status,category,source_id,confidence,source_document,term_type
oil pan,масляный поддон,deprecated,ambiguous,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,ambiguous
engine oil pan,масляный поддон двигателя,reviewed,engine,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
transmission oil pan,поддон коробки передач,reviewed,transmission,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
oil pickup tube,маслоприёмная трубка,reviewed,lubrication,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
oil pressure switch,датчик-сигнализатор давления масла,reviewed,lubrication,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
oil seal,манжетное уплотнение,reviewed,seals,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
oil strainer,сетчатый фильтр маслоприёмника,reviewed,lubrication,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
plug weld,электрозаклёпочное сварное соединение,deprecated,ambiguous,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,ambiguous
make a plug weld,выполнить электрозаклёпочную сварку,reviewed,body.repair,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,procedure
position,установить в требуемое положение,reviewed,service.procedure,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,procedure
positive crankcase ventilation valve,клапан принудительной вентиляции картера,reviewed,engine,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
prime,предварительно заполнить рабочей жидкостью,reviewed,service.procedure,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,procedure
refill,заправить повторно,reviewed,service.procedure,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,procedure
ring gear,зубчатый венец,deprecated,ambiguous,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,ambiguous
flywheel ring gear,зубчатый венец маховика,reviewed,engine,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
planetary ring gear,коронная шестерня планетарного ряда,reviewed,transmission,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
differential ring gear,ведомая шестерня главной передачи,reviewed,driveline,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
rivet,заклёпка,deprecated,ambiguous,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,ambiguous
install the rivet,установить заклёпку,reviewed,body.repair,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,procedure
rotate,повернуть,reviewed,service.procedure,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,procedure
sand,обработать шлифовальной бумагой,reviewed,service.procedure,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,procedure
seal puller,съёмник манжетных уплотнений,reviewed,tools,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,tool
selective catalytic reduction system,система селективной каталитической нейтрализации,reviewed,exhaust,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,system
shaft seal,манжетное уплотнение вала,reviewed,seals,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
snap ring,стопорное кольцо,reviewed,fasteners,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
solder,припой,deprecated,ambiguous,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,ambiguous
solder the lead,припаять вывод,reviewed,electrical.repair,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,procedure
spot weld,точечное сварное соединение,deprecated,ambiguous,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,ambiguous
make spot welds,выполнить точечную сварку,reviewed,body.repair,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,procedure
steering rack,рулевой механизм реечного типа,reviewed,steering,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
support,подпереть,reviewed,service.procedure,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,procedure
transmission fluid,рабочая жидкость коробки передач,reviewed,transmission,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,material
trim clip,фиксатор облицовки,reviewed,interior.trim,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
valve stem,стержень клапана,deprecated,ambiguous,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,ambiguous
engine valve stem,стержень клапана двигателя,reviewed,engine,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
tire valve stem,вентиль шины,reviewed,wheels.tires,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
vent,стравить воздух,reviewed,service.procedure,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,procedure
wheel alignment,углы установки колёс,reviewed,suspension,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,procedure
