source,target_preferred,status,category,source_id,confidence
breaker bar,вороток,candidate,tools,EDITORIAL_CORE_2026,medium
extension bar,удлинитель,candidate,tools,EDITORIAL_CORE_2026,high
universal joint adapter,карданный переходник,candidate,tools,EDITORIAL_CORE_2026,medium
open-end wrench,рожковый ключ,candidate,tools,EDITORIAL_CORE_2026,high
box-end wrench,накидной ключ,candidate,tools,EDITORIAL_CORE_2026,high
combination wrench,комбинированный ключ,candidate,tools,EDITORIAL_CORE_2026,high
flare nut wrench,разрезной ключ для трубок,candidate,tools,EDITORIAL_CORE_2026,medium
adjustable wrench,разводной ключ,candidate,tools,EDITORIAL_CORE_2026,high
hex key,шестигранный ключ,candidate,tools,EDITORIAL_CORE_2026,high
Torx bit,бита Torx,candidate,tools,EDITORIAL_CORE_2026,high
screwdriver,отвёртка,candidate,tools,EDITORIAL_CORE_2026,high
flat-blade screwdriver,шлицевая отвёртка,candidate,tools,EDITORIAL_CORE_2026,high
Phillips screwdriver,крестовая отвёртка,candidate,tools,EDITORIAL_CORE_2026,high
pliers,пассатижи,candidate,tools,EDITORIAL_CORE_2026,high
needle-nose pliers,длинногубцы,candidate,tools,EDITORIAL_CORE_2026,high
snap ring pliers,съёмник стопорных колец,candidate,tools,EDITORIAL_CORE_2026,high
locking pliers,зажимные клещи,candidate,tools,EDITORIAL_CORE_2026,medium
side cutters,бокорезы,candidate,tools,EDITORIAL_CORE_2026,high
trim remover,съёмник облицовки,candidate,tools,EDITORIAL_CORE_2026,high
seal puller,съёмник сальников,candidate,tools,EDITORIAL_CORE_2026,high
bearing puller,съёмник подшипников,candidate,tools,EDITORIAL_CORE_2026,high
two-jaw puller,двухзахватный съёмник,candidate,tools,EDITORIAL_CORE_2026,high
three-jaw puller,трёхзахватный съёмник,candidate,tools,EDITORIAL_CORE_2026,high
slide hammer,обратный молоток,candidate,tools,EDITORIAL_CORE_2026,high
ball joint separator,съёмник шаровых шарниров,candidate,tools,EDITORIAL_CORE_2026,high
spring compressor,стяжка пружины,candidate,tools,EDITORIAL_CORE_2026,high
valve spring compressor,рассухариватель клапанов,candidate,tools,EDITORIAL_CORE_2026,medium
piston ring compressor,оправка для сжатия поршневых колец,candidate,tools,EDITORIAL_CORE_2026,high
installer,установочная оправка,candidate,tools,EDITORIAL_CORE_2026,medium
driver,монтажная оправка,candidate,tools,EDITORIAL_CORE_2026,medium
press tool,приспособление для запрессовки,candidate,tools,EDITORIAL_CORE_2026,high
hydraulic press,гидравлический пресс,candidate,tools,EDITORIAL_CORE_2026,high
bench vise,слесарные тиски,candidate,tools,EDITORIAL_CORE_2026,high
soft jaws,мягкие губки тисков,candidate,tools,EDITORIAL_CORE_2026,high
rubber mallet,резиновая киянка,candidate,tools,EDITORIAL_CORE_2026,high
plastic hammer,пластиковый молоток,candidate,tools,EDITORIAL_CORE_2026,high
brass drift,латунная выколотка,candidate,tools,EDITORIAL_CORE_2026,high
pin punch,выколотка,candidate,tools,EDITORIAL_CORE_2026,high
center punch,кернер,candidate,tools,EDITORIAL_CORE_2026,high
feeler gauge,набор щупов,candidate,measuring_tools,EDITORIAL_CORE_2026,high
vernier caliper,штангенциркуль,candidate,measuring_tools,EDITORIAL_CORE_2026,high
micrometer,микрометр,candidate,measuring_tools,EDITORIAL_CORE_2026,high
dial indicator,индикатор часового типа,candidate,measuring_tools,EDITORIAL_CORE_2026,high
dial gauge stand,стойка индикатора,candidate,measuring_tools,EDITORIAL_CORE_2026,high
straightedge,поверочная линейка,candidate,measuring_tools,EDITORIAL_CORE_2026,high
compression gauge,компрессометр,candidate,measuring_tools,EDITORIAL_CORE_2026,high
vacuum gauge,вакуумметр,candidate,measuring_tools,EDITORIAL_CORE_2026,high
fuel pressure gauge,манометр давления топлива,candidate,measuring_tools,EDITORIAL_CORE_2026,high
cooling system pressure tester,прибор для проверки герметичности системы охлаждения,candidate,measuring_tools,EDITORIAL_CORE_2026,high
multimeter,мультиметр,candidate,electrical_tools,EDITORIAL_CORE_2026,high
test light,контрольная лампа,candidate,electrical_tools,EDITORIAL_CORE_2026,high
scan tool,диагностический прибор,candidate,diagnostic_tools,EDITORIAL_CORE_2026,high
special service tool,специальный сервисный инструмент,candidate,tools,EDITORIAL_CORE_2026,high
sealant,герметик,candidate,materials,EDITORIAL_CORE_2026,high
liquid gasket,жидкая прокладка,candidate,materials,EDITORIAL_CORE_2026,high
silicone sealant,силиконовый герметик,candidate,materials,EDITORIAL_CORE_2026,high
anaerobic sealant,анаэробный герметик,candidate,materials,EDITORIAL_CORE_2026,high
thread sealant,резьбовой герметик,candidate,materials,EDITORIAL_CORE_2026,high
threadlocker,фиксатор резьбы,candidate,materials,EDITORIAL_CORE_2026,high
low-strength threadlocker,фиксатор резьбы низкой прочности,candidate,materials,EDITORIAL_CORE_2026,high
medium-strength threadlocker,фиксатор резьбы средней прочности,candidate,materials,EDITORIAL_CORE_2026,high
high-strength threadlocker,фиксатор резьбы высокой прочности,candidate,materials,EDITORIAL_CORE_2026,high
anti-seize compound,противозадирная паста,candidate,materials,EDITORIAL_CORE_2026,high
assembly lubricant,монтажная смазка,candidate,materials,EDITORIAL_CORE_2026,high
multipurpose grease,универсальная консистентная смазка,candidate,materials,EDITORIAL_CORE_2026,high
silicone grease,силиконовая смазка,candidate,materials,EDITORIAL_CORE_2026,high
brake grease,смазка для тормозных механизмов,candidate,materials,EDITORIAL_CORE_2026,high
penetrating oil,проникающая смазка,candidate,materials,EDITORIAL_CORE_2026,high
cleaning solvent,очиститель-растворитель,candidate,materials,EDITORIAL_CORE_2026,high
brake cleaner,очиститель тормозов,candidate,materials,EDITORIAL_CORE_2026,high
contact cleaner,очиститель электрических контактов,candidate,materials,EDITORIAL_CORE_2026,high
engine oil,моторное масло,candidate,fluids,EDITORIAL_CORE_2026,high
transmission fluid,трансмиссионная жидкость,candidate,fluids,EDITORIAL_CORE_2026,high
gear oil,трансмиссионное масло,candidate,fluids,EDITORIAL_CORE_2026,high
brake fluid,тормозная жидкость,candidate,fluids,EDITORIAL_CORE_2026,high
power steering fluid,рабочая жидкость усилителя рулевого управления,candidate,fluids,EDITORIAL_CORE_2026,medium
engine coolant,охлаждающая жидкость двигателя,candidate,fluids,EDITORIAL_CORE_2026,high
refrigerant,хладагент,candidate,fluids,EDITORIAL_CORE_2026,high
compressor oil,масло компрессора кондиционера,candidate,fluids,EDITORIAL_CORE_2026,high
windshield washer fluid,жидкость стеклоомывателя,candidate,fluids,EDITORIAL_CORE_2026,high
primer,грунт,candidate,materials,EDITORIAL_CORE_2026,high
adhesive,клей,candidate,materials,EDITORIAL_CORE_2026,high
structural adhesive,конструкционный клей,candidate,materials,EDITORIAL_CORE_2026,high
seam sealer,шовный герметик,candidate,materials,EDITORIAL_CORE_2026,high
cavity wax,антикоррозионный состав для скрытых полостей,candidate,materials,EDITORIAL_CORE_2026,high
underbody coating,антикоррозионное покрытие днища,candidate,materials,EDITORIAL_CORE_2026,high
