source,target_preferred,status,category,source_id,confidence,source_document,term_type,alternate_targets
align the locating tabs,совместить установочные выступы,candidate,assembly,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
align the oil holes,совместить масляные отверстия,candidate,assembly,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
clearance fit,посадка с зазором,candidate,assembly,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
do not damage the sealing lip,не повредить рабочую кромку манжеты,candidate,assembly,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
install flush,установить заподлицо,candidate,assembly,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
install squarely,установить без перекоса,candidate,assembly,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
install with the lip facing inward,установить рабочей кромкой внутрь,candidate,assembly,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
install with the spring side inward,установить стороной с пружиной внутрь,candidate,assembly,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
lubricate the sealing lip,смазать рабочую кромку манжеты,candidate,assembly,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
mating surface,сопрягаемая поверхность,candidate,assembly,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
observe the installation direction,соблюдать направление установки,candidate,assembly,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
press in,запрессовать,candidate,assembly,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
press out,выпрессовать,candidate,assembly,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
press-fit,посадка с натягом,candidate,assembly,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
protect the sealing lip,защитить рабочую кромку манжеты,candidate,assembly,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
automated driving system,система автоматизированного вождения,candidate,automated_driving,UNECE_ADS,medium,UNECE_ADS,term,
dynamic driving task,динамическая задача вождения,candidate,automated_driving,UNECE_ADS,medium,UNECE_ADS,term,
fallback,резервный режим выполнения задачи вождения,candidate,automated_driving,UNECE_ADS,medium,UNECE_ADS,term,
fallback-ready user,"пользователь, готовый принять управление",candidate,automated_driving,UNECE_ADS,medium,UNECE_ADS,term,
minimal risk condition,состояние минимального риска,candidate,automated_driving,UNECE_ADS,medium,UNECE_ADS,term,
minimal risk manoeuvre,манёвр минимального риска,candidate,automated_driving,UNECE_ADS,medium,UNECE_ADS,term,
object and event detection and response,обнаружение объектов и событий и реагирование на них,candidate,automated_driving,UNECE_ADS,medium,UNECE_ADS,term,
operational design domain,область проектных условий эксплуатации,candidate,automated_driving,UNECE_ADS,medium,UNECE_ADS,term,
remote assistance,дистанционная помощь,candidate,automated_driving,UNECE_ADS,medium,UNECE_ADS,term,
remote driving,дистанционное управление автомобилем,candidate,automated_driving,UNECE_ADS,medium,UNECE_ADS,term,
risk mitigation function,функция снижения риска,candidate,automated_driving,UNECE_ADS,high,UNECE_ADS,term,
road user,участник дорожного движения,candidate,automated_driving,ASAM_OPENX,medium,ASAM_OPENX,term,
take-over request,запрос на принятие управления,candidate,automated_driving,UNECE_ADS,high,UNECE_ADS,term,
transition demand,требование перехода к ручному управлению,candidate,automated_driving,UNECE_ADS,high,UNECE_ADS,term,
transition phase,переходная фаза,candidate,automated_driving,UNECE_ADS,high,UNECE_ADS,term,
brake band,тормозная лента,candidate,automatic_transmission,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
clutch pack,пакет фрикционов,candidate,automatic_transmission,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
control valve body,блок гидравлических клапанов,candidate,automatic_transmission,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
friction plate,фрикционный диск,candidate,automatic_transmission,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
impeller,насосное колесо гидротрансформатора,candidate,automatic_transmission,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
line pressure,магистральное давление,candidate,automatic_transmission,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
manual valve,клапан ручного выбора диапазона,candidate,automatic_transmission,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
oil pan,поддон коробки передач,candidate,automatic_transmission,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,масляный поддон
planet carrier,водило,candidate,automatic_transmission,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
planet gear,сателлит,candidate,automatic_transmission,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
planetary gear set,планетарный ряд,candidate,automatic_transmission,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
pressure control solenoid,электромагнитный клапан регулирования давления,candidate,automatic_transmission,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
ring gear,коронная шестерня,candidate,automatic_transmission,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,зубчатый венец | зубчатый венец маховика | ведомая шестерня главной передачи
shift solenoid,электромагнитный клапан переключения передач,candidate,automatic_transmission,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
stator,реактор гидротрансформатора,candidate,automatic_transmission,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
steel plate,стальной диск,candidate,automatic_transmission,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
sun gear,солнечная шестерня,candidate,automatic_transmission,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
torque converter housing,корпус гидротрансформатора,candidate,automatic_transmission,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
torque converter lock-up clutch,блокировочная муфта гидротрансформатора,candidate,automatic_transmission,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
transmission fluid temperature sensor,датчик температуры рабочей жидкости коробки передач,candidate,automatic_transmission,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
transmission oil cooler,охладитель рабочей жидкости коробки передач,candidate,automatic_transmission,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
transmission range sensor,датчик диапазона коробки передач,candidate,automatic_transmission,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
turbine wheel,турбинное колесо гидротрансформатора,candidate,automatic_transmission,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
valve body,гидроблок,candidate,automatic_transmission,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
adaptive application,адаптивное приложение,candidate,autosar,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
application software component,прикладной программный компонент,candidate,autosar,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
AUTOSAR Runtime for Adaptive Applications,среда выполнения адаптивных приложений AUTOSAR,candidate,autosar,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
basic software,базовое программное обеспечение,candidate,autosar,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
communication management,управление связью,candidate,autosar,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
cryptography,криптографические службы,candidate,autosar,AUTOSAR_R25_11,high,AUTOSAR_R25_11,term,
diagnostic communication manager,менеджер диагностической связи,candidate,autosar,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
diagnostic event manager,менеджер диагностических событий,candidate,autosar,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
execution management,управление выполнением,candidate,autosar,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
functional cluster,функциональный кластер,candidate,autosar,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
identity and access management,управление идентификацией и доступом,candidate,autosar,AUTOSAR_R25_11,high,AUTOSAR_R25_11,term,
microcontroller abstraction layer,уровень абстракции микроконтроллера,candidate,autosar,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
persistency,постоянное хранение данных,candidate,autosar,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
platform health management,управление состоянием платформы,candidate,autosar,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
runtime environment,среда выполнения,candidate,autosar,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
state management,управление состояниями,candidate,autosar,AUTOSAR_R25_11,high,AUTOSAR_R25_11,term,
update and configuration management,управление обновлением и конфигурацией,candidate,autosar,AUTOSAR_R25_11,medium,AUTOSAR_R25_11,term,
angular contact bearing,радиально-упорный подшипник,candidate,bearings,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
ball bearing,шариковый подшипник,candidate,bearings,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
bearing cage,сепаратор подшипника,candidate,bearings,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
bearing clearance,зазор в подшипнике,candidate,bearings,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
bearing end play,осевой люфт подшипника,candidate,bearings,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
bearing inner race,внутреннее кольцо подшипника,candidate,bearings,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
bearing outer race,наружное кольцо подшипника,candidate,bearings,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
bearing preload,предварительный натяг подшипника,candidate,bearings,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
bearing seat,посадочное место подшипника,candidate,bearings,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
bearing seizure,заклинивание подшипника,candidate,bearings,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
needle roller bearing,игольчатый подшипник,candidate,bearings,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
plain bearing,подшипник скольжения,candidate,bearings,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
roller bearing,роликовый подшипник,candidate,bearings,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
rolling bearing,подшипник качения,candidate,bearings,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
tapered roller bearing,конический роликовый подшипник,candidate,bearings,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
thrust bearing,упорный подшипник,candidate,bearings,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
body-in-white,кузов в сборе до окраски,candidate,body,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
engine bottom shield,нижняя защита двигателя,candidate,body,N165_D2_CORPUS,high,N165_CORPUS,term,
front bumper reinforcement,усилитель переднего бампера,candidate,body,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
wheelhouse panel,панель колёсной арки,candidate,body,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
rear bumper lower panel,нижняя панель заднего бампера,candidate,body.exterior,N155_D2_CORPUS,high,N155_CORPUS,component,
rear wheel brow trim panel,облицовка арки заднего колеса,candidate,body.exterior,N155_D2_CORPUS,high,N155_CORPUS,component,
Body dimensions,Контрольные размеры кузова,approved,body.heading,VOLGA_PILOT,high,VOLGA_PILOT,heading,
Body repair,Кузовной ремонт,approved,body.heading,VOLGA_PILOT,high,VOLGA_PILOT,heading,
corrosion protection,антикоррозионная защита,approved,body.heading,EDITORIAL_CORE_2026 | VOLGA_PILOT,high,EDITORIAL_CORE_2026 | VOLGA_PILOT,heading,
Welding precautions,Меры предосторожности при сварке,approved,body.heading,VOLGA_PILOT,high,VOLGA_PILOT,heading,
rear quarter window glass,стекло задней боковины,candidate,body_glazing,N165_D2,medium,N165_D2,term,
application of primer,нанесение грунта,candidate,body_material,N165_D2,high,N165_D2,term,
body sealant,кузовной герметик,candidate,body_material,N165_D2,high,N165_D2,term,
body sealing materials,кузовные герметизирующие материалы,candidate,body_material,N165_D2,high,N165_D2,term,
body structural adhesive,конструкционный клей для кузова,candidate,body_material,N165_D2,high,N165_D2,term,
body alignment bench,стапель для правки кузова,candidate,body_measurement,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
body datum point,контрольная точка кузова,candidate,body_measurement,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
body dimension,контрольный размер кузова,candidate,body_measurement,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
body measuring system,система измерения геометрии кузова,candidate,body_measurement,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
body rear dimensions,контрольные размеры задней части кузова,candidate,body_measurement,N165_D2,medium,N165_D2,term,
centerline,продольная ось кузова,candidate,body_measurement,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
check and measure the position dimensions,проверить и измерить установочные размеры,candidate,body_measurement,N165_D2,high,N165_D2,term,
D-pillar trim panel mounting hole,отверстие крепления облицовки стойки D,candidate,body_measurement,N165_D2,high,N165_D2,term,
diagonal measurement,диагональный размер,candidate,body_measurement,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
dimensional difference,допуск размера,candidate,body_measurement,N165_D2,medium,N165_D2,term,
for compliance with standards,на соответствие нормативным значениям,candidate,body_measurement,N165_D2,medium,N165_D2,term,
hinge mounting hole,отверстие крепления петли,candidate,body_measurement,N165_D2,high,N165_D2,term,
luggage compartment lock catch mounting hole,отверстие крепления ответной части замка багажного отделения,candidate,body_measurement,N165_D2,medium,N165_D2,term,
mounting hole,монтажное отверстие,candidate,body_measurement,N165_D2,high,N165_D2,term,
nominal dimension,номинальный размер,candidate,body_measurement,N165_D2,high,N165_D2,term,
rear combination lamp mounting hole,отверстие крепления заднего комбинированного фонаря,candidate,body_measurement,N165_D2,high,N165_D2,term,
reference hole,контрольное отверстие,candidate,body_measurement,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
strut mounting hole,отверстие крепления газонаполненного упора,candidate,body_measurement,N165_D2,medium,N165_D2,term,
stud distribution,расположение приварных шпилек,candidate,body_reference,N165_D2,medium,N165_D2,term,
A-pillar,передняя стойка кузова,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
apron reinforcement,усилитель брызговика,candidate,body_repair,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
B-pillar,центральная стойка кузова,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
back panel,задняя панель кузова,candidate,body_repair,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
back window opening,проём заднего стекла,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
body opening,проём кузова,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
body panel,кузовная панель,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
body side inner,внутренняя боковина кузова,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
body side outer,наружная боковина кузова,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
body straightening,правка кузова,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
buckling,потеря устойчивости панели,candidate,body_repair,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
bumper reinforcement,усилитель бампера,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
C-pillar,задняя стойка кузова,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
clean the surface of foreign matter,очистить поверхность от посторонних материалов,candidate,body_repair,N165_D2,high,N165_D2,term,
closure panel,закрывающая панель,candidate,body_repair,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
collision damage,аварийное повреждение,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
corrosion perforation,сквозная коррозия,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
cowl panel,панель передка кузова,candidate,body_repair,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
crack,трещина,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
crash box,энергопоглощающий элемент бампера,candidate,body_repair,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
crease,резкая складка,candidate,body_repair,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
cut location,место реза,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
cutting line,линия реза,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
dash panel,щит передка,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
deck lid,крышка багажника,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
deck lid inner panel,внутренняя панель крышки багажника,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
deck lid outer panel,наружная панель крышки багажника,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
deformation,деформация,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
dent,вмятина,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
door hinge reinforcement,усилитель крепления петли двери,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
door intrusion beam,усилитель двери,candidate,body_repair,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
door opening,дверной проём,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
door striker reinforcement,усилитель крепления замка двери,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
floor crossmember,поперечина пола,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
front apron panel,передняя панель брызговика,candidate,body_repair,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
front crossmember,передняя поперечина,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
front door inner panel,внутренняя панель передней двери,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
front door outer panel,наружная панель передней двери,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
front fender,переднее крыло,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
front floor panel,передняя панель пола,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
front side member,передний лонжерон,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
hood hinge reinforcement,усилитель крепления петли капота,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
hood inner panel,внутренняя панель капота,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
hood outer panel,наружная панель капота,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
inner panel,внутренняя панель,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
inner rocker panel,внутренняя панель порога,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
lower tie bar,нижняя поперечина рамки радиатора,candidate,body_repair,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
match the installation position,совместить установочное положение,candidate,body_repair,N165_D2,medium,N165_D2,term,
outer panel,наружная панель,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
outer rocker panel,наружная панель порога,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
perform adjustment if necessary,при необходимости выполнить регулировку,candidate,body_repair,N165_D2,high,N165_D2,term,
plenum chamber,короб воздухопритока,candidate,body_repair,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
polish the welding surface to bare metal,зачистить сварочную поверхность до чистого металла,candidate,body_repair,N165_D2,high,N165_D2,term,
preliminary positioning,предварительное позиционирование,candidate,body_repair,N165_D2,high,N165_D2,term,
pulling direction,направление вытяжки,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
pulling force,усилие вытяжки,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
quarter inner panel,внутренняя панель заднего крыла,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
radiator support,панель рамки радиатора,candidate,body_repair,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
rear crossmember,задняя поперечина,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
rear door inner panel,внутренняя панель задней двери,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
rear door outer panel,наружная панель задней двери,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
rear floor panel,задняя панель пола,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
rear panel,задняя панель кузова,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
rear quarter panel,заднее крыло,candidate,body_repair,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
rear side member,задний лонжерон,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
rear wheelhouse,задняя колёсная ниша,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
reinforcement panel,усилительная панель,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
remove paint rust and adhesive residues,удалить остатки краски ржавчины и клея,candidate,body_repair,N165_D2,high,N165_D2,term,
remove welding marks,удалить следы сварки,candidate,body_repair,N165_D2,medium,N165_D2,term,
rocker panel,панель порога,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
roof bow,поперечина крыши,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
roof panel,панель крыши,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
roof reinforcement,усилитель крыши,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
roof side rail,боковая продольная балка крыши,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
sectioning,частичная замена панели,candidate,body_repair,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
sectioning joint,стык при частичной замене,candidate,body_repair,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
separate the panel from the body,отделить панель от кузова,candidate,body_repair,N165_D2,high,N165_D2,term,
spare wheel well,ниша запасного колеса,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
tailgate inner panel,внутренняя панель двери багажного отделения,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
tailgate outer panel,наружная панель двери багажного отделения,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
tear,разрыв,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
temporarily install the new component,временно установить новую деталь,candidate,body_repair,N165_D2,high,N165_D2,term,
trim line,линия обрезки,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
trunk floor,пол багажного отделения,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
upper tie bar,верхняя поперечина рамки радиатора,candidate,body_repair,EDITORIAL_CORE_2026,medium,EDITORIAL_CORE_2026,term,
wheelhouse,колёсная ниша,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
wheelhouse inner panel,внутренняя панель колёсной ниши,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
wheelhouse outer panel,наружная панель колёсной ниши,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
windshield opening,проём ветрового стекла,candidate,body_repair,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
A-pillar inner panel assembly,внутренняя панель стойки A в сборе,candidate,body_structure,N165_D2,high,N165_D2,term,
